id,name,s3_path,content_start,content_end,publication_date,modification_date,content_length,origin_date,collection,night_imaging_mode,night_mode_rule,product_type,processing_level,operational_mode,platform_serial_identifier,instrument_short_name,tile_id,relative_orbit_number,orbit_number,cloud_cover,processing_baseline,quality_status,attributes_json
bb691e1c-7c75-4dc6-99a2-4569162265fb,S2A_MSIL1C_20251203T182201_N0511_R070_T40RDP_20251203T183534.SAFE,/eodata/Sentinel-2/MSI/L1C/2025/12/03/S2A_MSIL1C_20251203T182201_N0511_R070_T40RDP_20251203T183534.SAFE,2025-12-03T18:22:01.024000Z,2025-12-03T18:22:01.024000Z,2025-12-04T10:37:28.114723Z,2025-12-04T10:37:28.114723Z,4208809,2025-12-04T10:34:46.000000Z,SENTINEL-2,True,platformSerialIdentifier=A; operationalMode=INS-RAW,S2MSI1C,S2MSI1C,INS-RAW,A,MSI,40RDP,70,54579,0.0,,,"{""beginningDateTime"": ""2025-12-03T18:22:01.024000Z"", ""cloudCover"": 0.0, ""datastripId"": ""S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11"", ""endingDateTime"": ""2025-12-03T18:22:01.024000Z"", ""granuleIdentifier"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40RDP_N05.11"", ""instrumentShortName"": ""MSI"", ""operationalMode"": ""INS-RAW"", ""orbitNumber"": 54579, ""origin"": ""ESA"", ""platformSerialIdentifier"": ""A"", ""platformShortName"": ""SENTINEL-2"", ""processingDate"": ""2025-12-03T18:35:34.000000Z"", ""processingLevel"": ""S2MSI1C"", ""processorVersion"": ""05.11"", ""productGroupId"": ""GS2A_20251203T182201_054579_N05.11"", ""productType"": ""S2MSI1C"", ""relativeOrbitNumber"": 70, ""sourceProduct"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40RDP_N05.11,S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11,S2A_OPER_MSI_L1C_TC_2APS_20251203T183534_A054579_T40RDP_N05.11.jp2"", ""sourceProductOriginDate"": ""2025-12-04T10:34:46Z,2025-12-04T10:34:45Z,2025-12-04T10:34:46Z"", ""tileId"": ""40RDP""}"
59e80aba-922c-41fb-a2e5-66d4e5879a6f,S2A_MSIL1C_20251203T182201_N0511_R070_T40RDQ_20251203T183534.SAFE,/eodata/Sentinel-2/MSI/L1C/2025/12/03/S2A_MSIL1C_20251203T182201_N0511_R070_T40RDQ_20251203T183534.SAFE,2025-12-03T18:22:01.024000Z,2025-12-03T18:22:01.024000Z,2025-12-04T10:37:24.375365Z,2025-12-04T10:37:24.375365Z,6990005,2025-12-04T10:34:46.000000Z,SENTINEL-2,True,platformSerialIdentifier=A; operationalMode=INS-RAW,S2MSI1C,S2MSI1C,INS-RAW,A,MSI,40RDQ,70,54579,0.0,,,"{""beginningDateTime"": ""2025-12-03T18:22:01.024000Z"", ""cloudCover"": 0.0, ""datastripId"": ""S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11"", ""endingDateTime"": ""2025-12-03T18:22:01.024000Z"", ""granuleIdentifier"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40RDQ_N05.11"", ""instrumentShortName"": ""MSI"", ""operationalMode"": ""INS-RAW"", ""orbitNumber"": 54579, ""origin"": ""ESA"", ""platformSerialIdentifier"": ""A"", ""platformShortName"": ""SENTINEL-2"", ""processingDate"": ""2025-12-03T18:35:34.000000Z"", ""processingLevel"": ""S2MSI1C"", ""processorVersion"": ""05.11"", ""productGroupId"": ""GS2A_20251203T182201_054579_N05.11"", ""productType"": ""S2MSI1C"", ""relativeOrbitNumber"": 70, ""sourceProduct"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40RDQ_N05.11,S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11,S2A_OPER_MSI_L1C_TC_2APS_20251203T183534_A054579_T40RDQ_N05.11.jp2"", ""sourceProductOriginDate"": ""2025-12-04T10:34:46Z,2025-12-04T10:34:45Z,2025-12-04T10:34:46Z"", ""tileId"": ""40RDQ""}"
d08dbe6a-1d5f-4c56-935f-9af55016476b,S2A_MSIL1C_20251203T182201_N0511_R070_T40REQ_20251203T183534.SAFE,/eodata/Sentinel-2/MSI/L1C/2025/12/03/S2A_MSIL1C_20251203T182201_N0511_R070_T40REQ_20251203T183534.SAFE,2025-12-03T18:22:01.024000Z,2025-12-03T18:22:01.024000Z,2025-12-04T10:37:24.538840Z,2025-12-04T10:37:24.538840Z,5219692,2025-12-04T10:34:46.000000Z,SENTINEL-2,True,platformSerialIdentifier=A; operationalMode=INS-RAW,S2MSI1C,S2MSI1C,INS-RAW,A,MSI,40REQ,70,54579,0.0,,,"{""beginningDateTime"": ""2025-12-03T18:22:01.024000Z"", ""cloudCover"": 0.0, ""datastripId"": ""S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11"", ""endingDateTime"": ""2025-12-03T18:22:01.024000Z"", ""granuleIdentifier"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40REQ_N05.11"", ""instrumentShortName"": ""MSI"", ""operationalMode"": ""INS-RAW"", ""orbitNumber"": 54579, ""origin"": ""ESA"", ""platformSerialIdentifier"": ""A"", ""platformShortName"": ""SENTINEL-2"", ""processingDate"": ""2025-12-03T18:35:34.000000Z"", ""processingLevel"": ""S2MSI1C"", ""processorVersion"": ""05.11"", ""productGroupId"": ""GS2A_20251203T182201_054579_N05.11"", ""productType"": ""S2MSI1C"", ""relativeOrbitNumber"": 70, ""sourceProduct"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40REQ_N05.11,S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11,S2A_OPER_MSI_L1C_TC_2APS_20251203T183534_A054579_T40REQ_N05.11.jp2"", ""sourceProductOriginDate"": ""2025-12-04T10:34:46Z,2025-12-04T10:34:45Z,2025-12-04T10:34:46Z"", ""tileId"": ""40REQ""}"
3253c27f-6e6b-4b4e-8dbd-253a408f39a6,S2A_MSIL1C_20251203T182201_N0511_R070_T40RER_20251203T183534.SAFE,/eodata/Sentinel-2/MSI/L1C/2025/12/03/S2A_MSIL1C_20251203T182201_N0511_R070_T40RER_20251203T183534.SAFE,2025-12-03T18:22:01.024000Z,2025-12-03T18:22:01.024000Z,2025-12-04T10:37:57.102928Z,2025-12-04T10:37:57.102928Z,4899897,2025-12-04T10:34:46.000000Z,SENTINEL-2,True,platformSerialIdentifier=A; operationalMode=INS-RAW,S2MSI1C,S2MSI1C,INS-RAW,A,MSI,40RER,70,54579,0.0,,,"{""beginningDateTime"": ""2025-12-03T18:22:01.024000Z"", ""cloudCover"": 0.0, ""datastripId"": ""S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11"", ""endingDateTime"": ""2025-12-03T18:22:01.024000Z"", ""granuleIdentifier"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40RER_N05.11"", ""instrumentShortName"": ""MSI"", ""operationalMode"": ""INS-RAW"", ""orbitNumber"": 54579, ""origin"": ""ESA"", ""platformSerialIdentifier"": ""A"", ""platformShortName"": ""SENTINEL-2"", ""processingDate"": ""2025-12-03T18:35:34.000000Z"", ""processingLevel"": ""S2MSI1C"", ""processorVersion"": ""05.11"", ""productGroupId"": ""GS2A_20251203T182201_054579_N05.11"", ""productType"": ""S2MSI1C"", ""relativeOrbitNumber"": 70, ""sourceProduct"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40RER_N05.11,S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11,S2A_OPER_MSI_L1C_TC_2APS_20251203T183534_A054579_T40RER_N05.11.jp2"", ""sourceProductOriginDate"": ""2025-12-04T10:34:46Z,2025-12-04T10:34:45Z,2025-12-04T10:34:46Z"", ""tileId"": ""40RER""}"
481fc645-9286-42ba-bb4f-97851262e5fe,S2A_MSIL1C_20251203T182201_N0511_R070_T40RFQ_20251203T183534.SAFE,/eodata/Sentinel-2/MSI/L1C/2025/12/03/S2A_MSIL1C_20251203T182201_N0511_R070_T40RFQ_20251203T183534.SAFE,2025-12-03T18:22:01.024000Z,2025-12-03T18:22:01.024000Z,2025-12-04T10:37:27.486771Z,2025-12-04T10:37:27.486771Z,4944320,2025-12-04T10:34:46.000000Z,SENTINEL-2,True,platformSerialIdentifier=A; operationalMode=INS-RAW,S2MSI1C,S2MSI1C,INS-RAW,A,MSI,40RFQ,70,54579,0.0,,,"{""beginningDateTime"": ""2025-12-03T18:22:01.024000Z"", ""cloudCover"": 0.0, ""datastripId"": ""S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11"", ""endingDateTime"": ""2025-12-03T18:22:01.024000Z"", ""granuleIdentifier"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40RFQ_N05.11"", ""instrumentShortName"": ""MSI"", ""operationalMode"": ""INS-RAW"", ""orbitNumber"": 54579, ""origin"": ""ESA"", ""platformSerialIdentifier"": ""A"", ""platformShortName"": ""SENTINEL-2"", ""processingDate"": ""2025-12-03T18:35:34.000000Z"", ""processingLevel"": ""S2MSI1C"", ""processorVersion"": ""05.11"", ""productGroupId"": ""GS2A_20251203T182201_054579_N05.11"", ""productType"": ""S2MSI1C"", ""relativeOrbitNumber"": 70, ""sourceProduct"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40RFQ_N05.11,S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11,S2A_OPER_MSI_L1C_TC_2APS_20251203T183534_A054579_T40RFQ_N05.11.jp2"", ""sourceProductOriginDate"": ""2025-12-04T10:34:46Z,2025-12-04T10:34:45Z,2025-12-04T10:34:46Z"", ""tileId"": ""40RFQ""}"
1a8c1e8b-0930-42a3-9721-5369961a8795,S2A_MSIL1C_20251203T182201_N0511_R070_T40RFR_20251203T183534.SAFE,/eodata/Sentinel-2/MSI/L1C/2025/12/03/S2A_MSIL1C_20251203T182201_N0511_R070_T40RFR_20251203T183534.SAFE,2025-12-03T18:22:01.024000Z,2025-12-03T18:22:01.024000Z,2025-12-04T10:38:00.513601Z,2025-12-04T10:38:00.513601Z,4351092,2025-12-04T10:34:46.000000Z,SENTINEL-2,True,platformSerialIdentifier=A; operationalMode=INS-RAW,S2MSI1C,S2MSI1C,INS-RAW,A,MSI,40RFR,70,54579,0.0,,,"{""beginningDateTime"": ""2025-12-03T18:22:01.024000Z"", ""cloudCover"": 0.0, ""datastripId"": ""S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11"", ""endingDateTime"": ""2025-12-03T18:22:01.024000Z"", ""granuleIdentifier"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40RFR_N05.11"", ""instrumentShortName"": ""MSI"", ""operationalMode"": ""INS-RAW"", ""orbitNumber"": 54579, ""origin"": ""ESA"", ""platformSerialIdentifier"": ""A"", ""platformShortName"": ""SENTINEL-2"", ""processingDate"": ""2025-12-03T18:35:34.000000Z"", ""processingLevel"": ""S2MSI1C"", ""processorVersion"": ""05.11"", ""productGroupId"": ""GS2A_20251203T182201_054579_N05.11"", ""productType"": ""S2MSI1C"", ""relativeOrbitNumber"": 70, ""sourceProduct"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T183534_A054579_T40RFR_N05.11,S2A_OPER_MSI_L1C_DS_2APS_20251203T183534_S20251203T182159_N05.11,S2A_OPER_MSI_L1C_TC_2APS_20251203T183534_A054579_T40RFR_N05.11.jp2"", ""sourceProductOriginDate"": ""2025-12-04T10:34:46Z,2025-12-04T10:34:45Z,2025-12-04T10:34:46Z"", ""tileId"": ""40RFR""}"
3b73d2ce-130e-42ae-b50f-d3065217c722,S2A_MSIL1C_20251203T214931_N0511_R072_T30UWU_20251203T234208.SAFE,/eodata/Sentinel-2/MSI/L1C/2025/12/03/S2A_MSIL1C_20251203T214931_N0511_R072_T30UWU_20251203T234208.SAFE,2025-12-03T21:49:31.024000Z,2025-12-03T21:49:31.024000Z,2025-12-04T10:37:56.031266Z,2025-12-04T10:37:56.031266Z,4452235,2025-12-04T10:34:39.000000Z,SENTINEL-2,True,platformSerialIdentifier=A; operationalMode=INS-RAW,S2MSI1C,S2MSI1C,INS-RAW,A,MSI,30UWU,72,54581,0.0,,,"{""beginningDateTime"": ""2025-12-03T21:49:31.024000Z"", ""cloudCover"": 0.0, ""datastripId"": ""S2A_OPER_MSI_L1C_DS_2APS_20251203T234208_S20251203T214934_N05.11"", ""endingDateTime"": ""2025-12-03T21:49:31.024000Z"", ""granuleIdentifier"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T234208_A054581_T30UWU_N05.11"", ""instrumentShortName"": ""MSI"", ""operationalMode"": ""INS-RAW"", ""orbitNumber"": 54581, ""origin"": ""ESA"", ""platformSerialIdentifier"": ""A"", ""platformShortName"": ""SENTINEL-2"", ""processingDate"": ""2025-12-03T23:42:08.000000Z"", ""processingLevel"": ""S2MSI1C"", ""processorVersion"": ""05.11"", ""productGroupId"": ""GS2A_20251203T214931_054581_N05.11"", ""productType"": ""S2MSI1C"", ""relativeOrbitNumber"": 72, ""sourceProduct"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T234208_A054581_T30UWU_N05.11,S2A_OPER_MSI_L1C_DS_2APS_20251203T234208_S20251203T214934_N05.11,S2A_OPER_MSI_L1C_TC_2APS_20251203T234208_A054581_T30UWU_N05.11.jp2"", ""sourceProductOriginDate"": ""2025-12-04T10:34:38Z,2025-12-04T10:34:36Z,2025-12-04T10:34:39Z"", ""tileId"": ""30UWU""}"
848449c6-bb2d-4c1e-a8de-89ff810ef55c,S2A_MSIL1C_20251203T214931_N0511_R072_T30UXU_20251203T234208.SAFE,/eodata/Sentinel-2/MSI/L1C/2025/12/03/S2A_MSIL1C_20251203T214931_N0511_R072_T30UXU_20251203T234208.SAFE,2025-12-03T21:49:31.024000Z,2025-12-03T21:49:31.024000Z,2025-12-04T10:37:33.525838Z,2025-12-04T10:37:33.525838Z,6678274,2025-12-04T10:34:39.000000Z,SENTINEL-2,True,platformSerialIdentifier=A; operationalMode=INS-RAW,S2MSI1C,S2MSI1C,INS-RAW,A,MSI,30UXU,72,54581,0.0,,,"{""beginningDateTime"": ""2025-12-03T21:49:31.024000Z"", ""cloudCover"": 0.0, ""datastripId"": ""S2A_OPER_MSI_L1C_DS_2APS_20251203T234208_S20251203T214934_N05.11"", ""endingDateTime"": ""2025-12-03T21:49:31.024000Z"", ""granuleIdentifier"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T234208_A054581_T30UXU_N05.11"", ""instrumentShortName"": ""MSI"", ""operationalMode"": ""INS-RAW"", ""orbitNumber"": 54581, ""origin"": ""ESA"", ""platformSerialIdentifier"": ""A"", ""platformShortName"": ""SENTINEL-2"", ""processingDate"": ""2025-12-03T23:42:08.000000Z"", ""processingLevel"": ""S2MSI1C"", ""processorVersion"": ""05.11"", ""productGroupId"": ""GS2A_20251203T214931_054581_N05.11"", ""productType"": ""S2MSI1C"", ""relativeOrbitNumber"": 72, ""sourceProduct"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T234208_A054581_T30UXU_N05.11,S2A_OPER_MSI_L1C_DS_2APS_20251203T234208_S20251203T214934_N05.11,S2A_OPER_MSI_L1C_TC_2APS_20251203T234208_A054581_T30UXU_N05.11.jp2"", ""sourceProductOriginDate"": ""2025-12-04T10:34:38Z,2025-12-04T10:34:36Z,2025-12-04T10:34:39Z"", ""tileId"": ""30UXU""}"
42cea71f-1480-4601-89ba-8bb08ca763bd,S2A_MSIL1C_20251203T214931_N0511_R072_T30UYU_20251203T234208.SAFE,/eodata/Sentinel-2/MSI/L1C/2025/12/03/S2A_MSIL1C_20251203T214931_N0511_R072_T30UYU_20251203T234208.SAFE,2025-12-03T21:49:31.024000Z,2025-12-03T21:49:31.024000Z,2025-12-04T10:37:25.384841Z,2025-12-04T10:37:25.384841Z,5631875,2025-12-04T10:34:39.000000Z,SENTINEL-2,True,platformSerialIdentifier=A; operationalMode=INS-RAW,S2MSI1C,S2MSI1C,INS-RAW,A,MSI,30UYU,72,54581,0.0,,,"{""beginningDateTime"": ""2025-12-03T21:49:31.024000Z"", ""cloudCover"": 0.0, ""datastripId"": ""S2A_OPER_MSI_L1C_DS_2APS_20251203T234208_S20251203T214934_N05.11"", ""endingDateTime"": ""2025-12-03T21:49:31.024000Z"", ""granuleIdentifier"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T234208_A054581_T30UYU_N05.11"", ""instrumentShortName"": ""MSI"", ""operationalMode"": ""INS-RAW"", ""orbitNumber"": 54581, ""origin"": ""ESA"", ""platformSerialIdentifier"": ""A"", ""platformShortName"": ""SENTINEL-2"", ""processingDate"": ""2025-12-03T23:42:08.000000Z"", ""processingLevel"": ""S2MSI1C"", ""processorVersion"": ""05.11"", ""productGroupId"": ""GS2A_20251203T214931_054581_N05.11"", ""productType"": ""S2MSI1C"", ""relativeOrbitNumber"": 72, ""sourceProduct"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T234208_A054581_T30UYU_N05.11,S2A_OPER_MSI_L1C_DS_2APS_20251203T234208_S20251203T214934_N05.11,S2A_OPER_MSI_L1C_TC_2APS_20251203T234208_A054581_T30UYU_N05.11.jp2"", ""sourceProductOriginDate"": ""2025-12-04T10:34:38Z,2025-12-04T10:34:36Z,2025-12-04T10:34:39Z"", ""tileId"": ""30UYU""}"
f31c8eca-28fb-4be7-928f-e920a510a878,S2A_MSIL1C_20251203T214931_N0511_R072_T30UYV_20251203T234208.SAFE,/eodata/Sentinel-2/MSI/L1C/2025/12/03/S2A_MSIL1C_20251203T214931_N0511_R072_T30UYV_20251203T234208.SAFE,2025-12-03T21:49:31.024000Z,2025-12-03T21:49:31.024000Z,2025-12-04T10:37:23.878771Z,2025-12-04T10:37:23.878771Z,5215695,2025-12-04T10:34:39.000000Z,SENTINEL-2,True,platformSerialIdentifier=A; operationalMode=INS-RAW,S2MSI1C,S2MSI1C,INS-RAW,A,MSI,30UYV,72,54581,0.0,,,"{""beginningDateTime"": ""2025-12-03T21:49:31.024000Z"", ""cloudCover"": 0.0, ""datastripId"": ""S2A_OPER_MSI_L1C_DS_2APS_20251203T234208_S20251203T214934_N05.11"", ""endingDateTime"": ""2025-12-03T21:49:31.024000Z"", ""granuleIdentifier"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T234208_A054581_T30UYV_N05.11"", ""instrumentShortName"": ""MSI"", ""operationalMode"": ""INS-RAW"", ""orbitNumber"": 54581, ""origin"": ""ESA"", ""platformSerialIdentifier"": ""A"", ""platformShortName"": ""SENTINEL-2"", ""processingDate"": ""2025-12-03T23:42:08.000000Z"", ""processingLevel"": ""S2MSI1C"", ""processorVersion"": ""05.11"", ""productGroupId"": ""GS2A_20251203T214931_054581_N05.11"", ""productType"": ""S2MSI1C"", ""relativeOrbitNumber"": 72, ""sourceProduct"": ""S2A_OPER_MSI_L1C_TL_2APS_20251203T234208_A054581_T30UYV_N05.11,S2A_OPER_MSI_L1C_DS_2APS_20251203T234208_S20251203T214934_N05.11,S2A_OPER_MSI_L1C_TC_2APS_20251203T234208_A054581_T30UYV_N05.11.jp2"", ""sourceProductOriginDate"": ""2025-12-04T10:34:38Z,2025-12-04T10:34:36Z,2025-12-04T10:34:39Z"", ""tileId"": ""30UYV""}"
